Date	Global Sea Ice	Temperature Change	Carbon Dioxide (CO2)
1979	26.57	0.3	339.26
1980	27.75	0.19	341.32
1981	27.15	0.18	342.54
1982	27.21	0.18	343.79
1983	27.25	0.24	345.63
1984	26.13	0.15	346.98
1985	26.75	0.15	348.38
1986	26.66	0.22	349.93
1987	26.72	0.35	351.52
1988	27.49	0.31	353.75
1989	26.69	0.29	355.37
1990	26.43	0.43	356.34
1991	26.46	0.29	358.13
1992	27.25	0.05	359.33
1993	26.92	0.23	359.52
1994	27.01	0.43	360.81
1995	25.86	0.44	363.19
1996	27.12	0.22	364.92
1997	26.33	0.64	365.59
1998	27.11	0.49	368.99
1999	26.95	0.35	370.3
2000	26.51	0.32	371.7
2001	26.03	0.52	373.22
2002	26.03	0.49	375.52
2003	26.05	0.74	378.28
2004	26.39	0.6	379.69
2005	25.83	0.68	382.21
2006	26.27	0.68	384.05
2007	24.55	0.56	386.1
2008	25.34	0.67	387.76
2009	25.22	0.64	389.48
2010	25.63	0.63	392.15
2011	24.68	0.61	393.74
2012	24.48	0.7	395.71
2013	26.47	0.67	398.6
2014	26.23	0.76	401.25
2015	25.38	1.03	402.8
2016	23.54	0.79	406.81
2017	24.55	0.81	408.89
2018	23.86	0.93	410.79
2019	23.67	0.95	413.93
2020	23.68	0.85	416.38
