Alabama	138347	232506	3457
Alaska	19320	26587	102
Arizona	245311	299665	6464
Arkansas	17663	145173	2357
California	559866	1114838	18725
Colorado	142426	198600	2806
Connecticut	49892	101469	4828
Delaware	15170	31808	748
District Of Columbia	4599	20151	670
Florida	284461	938414	18005
Georgia	157327	449132	9198
Hawaii	4303	17220	233
Idaho	52483	90834	847
Illinois	303110	656298	12051
Indiana	126311	295357	5305
Iowa	92018	210518	2192
Kansas	53494	136640	1410
Kentucky	130157	158100	1787
Louisiana	27972	220192	6260
Maine	2392	10359	176
Maryland	169199	182139	4434
Massachusetts	39073	206850	10512
Michigan	167879	329021	8875
Minnesota	47140	270157	3297
Mississippi	22821	143180	3676
Missouri	203897	281245	3785
Montana	16026	55680	603
Nebraska	55519	113029	905
Nevada	51873	133888	2017
New Hampshire	4199	17598	512
New Jersey	103140	311698	16891
New Mexico	51656	81896	1383
New York	163010	633465	34233
North Carolina	55609	336775	5034
North Dakota	10244	72683	840
Ohio	118147	351419	5996
Oklahoma	32384	174330	1634
Oregon	7650	65170	820
Pennsylvania	110231	313788	9917
Rhode Island	43393	48001	1294
South Carolina	95183	206295	4283
South Dakota	16897	73065	819
Tennessee	41979	340476	4266
Texas	217152	1176882	21165
Utah	60479	177176	793
Vermont	1287	3629	63
Virginia	190725	217796	3938
Washington	84545	148061	2636
West Virginia	13340	40478	662
Wisconsin	75097	354676	3005
Wyoming	11186	28169	176
